jda:block/1	x=320	y=768	w=32	h=32
jda:block/_n_knockback_resistance	x=544	y=768	w=16	h=16
minecraft:block/acacia_door_bottom	x=560	y=768	w=16	h=16
minecraft:block/acacia_door_top	x=576	y=768	w=16	h=16
minecraft:block/acacia_leaves	x=592	y=768	w=16	h=16
minecraft:block/acacia_log	x=608	y=768	w=16	h=16
minecraft:block/acacia_log_top	x=624	y=768	w=16	h=16
minecraft:block/acacia_planks	x=640	y=768	w=16	h=16
minecraft:block/acacia_sapling	x=656	y=768	w=16	h=16
minecraft:block/acacia_trapdoor	x=672	y=768	w=16	h=16
minecraft:block/activator_rail	x=688	y=768	w=16	h=16
minecraft:block/activator_rail_on	x=704	y=768	w=16	h=16
minecraft:block/allium	x=720	y=768	w=16	h=16
minecraft:block/amethyst_block	x=736	y=768	w=16	h=16
minecraft:block/amethyst_cluster	x=752	y=768	w=16	h=16
minecraft:block/ancient_debris_side	x=480	y=784	w=16	h=16
minecraft:block/ancient_debris_top	x=496	y=784	w=16	h=16
minecraft:block/andesite	x=512	y=784	w=16	h=16
minecraft:block/anvil	x=528	y=784	w=16	h=16
minecraft:block/anvil_top	x=544	y=784	w=16	h=16
minecraft:block/attached_melon_stem	x=560	y=784	w=16	h=16
minecraft:block/attached_pumpkin_stem	x=576	y=784	w=16	h=16
minecraft:block/azalea_leaves	x=592	y=784	w=16	h=16
minecraft:block/azalea_plant	x=608	y=784	w=16	h=16
minecraft:block/azalea_side	x=624	y=784	w=16	h=16
minecraft:block/azalea_top	x=640	y=784	w=16	h=16
minecraft:block/azure_bluet	x=656	y=784	w=16	h=16
minecraft:block/bamboo_block	x=672	y=784	w=16	h=16
minecraft:block/bamboo_block_top	x=688	y=784	w=16	h=16
minecraft:block/bamboo_door_bottom	x=704	y=784	w=16	h=16
minecraft:block/bamboo_door_top	x=720	y=784	w=16	h=16
minecraft:block/bamboo_fence	x=736	y=784	w=16	h=16
minecraft:block/bamboo_fence_gate	x=752	y=784	w=16	h=16
minecraft:block/bamboo_fence_gate_particle	x=128	y=800	w=16	h=16
minecraft:block/bamboo_fence_particle	x=144	y=800	w=16	h=16
minecraft:block/bamboo_large_leaves	x=160	y=800	w=16	h=16
minecraft:block/bamboo_mosaic	x=176	y=800	w=16	h=16
minecraft:block/bamboo_planks	x=192	y=800	w=16	h=16
minecraft:block/bamboo_singleleaf	x=208	y=800	w=16	h=16
minecraft:block/bamboo_small_leaves	x=224	y=800	w=16	h=16
minecraft:block/bamboo_stage0	x=240	y=800	w=16	h=16
minecraft:block/bamboo_stalk	x=256	y=800	w=16	h=16
minecraft:block/bamboo_trapdoor	x=272	y=800	w=16	h=16
minecraft:block/barrel_bottom	x=288	y=800	w=16	h=16
minecraft:block/barrel_side	x=304	y=800	w=16	h=16
minecraft:block/barrel_top	x=320	y=800	w=16	h=16
minecraft:block/barrel_top_open	x=336	y=800	w=16	h=16
minecraft:block/basalt_side	x=352	y=800	w=16	h=16
minecraft:block/basalt_top	x=368	y=800	w=16	h=16
minecraft:block/beacon	x=384	y=800	w=16	h=16
minecraft:block/bedrock	x=400	y=800	w=16	h=16
minecraft:block/bee_nest_bottom	x=416	y=800	w=16	h=16
minecraft:block/bee_nest_front	x=432	y=800	w=16	h=16
minecraft:block/bee_nest_front_honey	x=448	y=800	w=16	h=16
minecraft:block/bee_nest_side	x=464	y=800	w=16	h=16
minecraft:block/bee_nest_top	x=480	y=800	w=16	h=16
minecraft:block/beehive_end	x=496	y=800	w=16	h=16
minecraft:block/beehive_front	x=512	y=800	w=16	h=16
minecraft:block/beehive_front_honey	x=528	y=800	w=16	h=16
minecraft:block/beehive_side	x=544	y=800	w=16	h=16
minecraft:block/beetroots_stage0	x=560	y=800	w=16	h=16
minecraft:block/beetroots_stage1	x=576	y=800	w=16	h=16
minecraft:block/beetroots_stage2	x=592	y=800	w=16	h=16
minecraft:block/beetroots_stage3	x=608	y=800	w=16	h=16
minecraft:block/bell_bottom	x=624	y=800	w=16	h=16
minecraft:block/bell_side	x=640	y=800	w=16	h=16
minecraft:block/bell_top	x=656	y=800	w=16	h=16
minecraft:block/big_dripleaf_side	x=672	y=800	w=16	h=16
minecraft:block/big_dripleaf_stem	x=688	y=800	w=16	h=16
minecraft:block/big_dripleaf_tip	x=704	y=800	w=16	h=16
minecraft:block/big_dripleaf_top	x=720	y=800	w=16	h=16
minecraft:block/birch_door_bottom	x=736	y=800	w=16	h=16
minecraft:block/birch_door_top	x=752	y=800	w=16	h=16
minecraft:block/birch_leaves	x=128	y=816	w=16	h=16
minecraft:block/birch_log	x=144	y=816	w=16	h=16
minecraft:block/birch_log_top	x=160	y=816	w=16	h=16
minecraft:block/birch_planks	x=176	y=816	w=16	h=16
minecraft:block/birch_sapling	x=192	y=816	w=16	h=16
minecraft:block/birch_trapdoor	x=208	y=816	w=16	h=16
minecraft:block/black_candle	x=224	y=816	w=16	h=16
minecraft:block/black_candle_lit	x=240	y=816	w=16	h=16
minecraft:block/black_concrete	x=256	y=816	w=16	h=16
minecraft:block/black_concrete_powder	x=272	y=816	w=16	h=16
minecraft:block/black_glazed_terracotta	x=288	y=816	w=16	h=16
minecraft:block/black_shulker_box	x=304	y=816	w=16	h=16
minecraft:block/black_stained_glass	x=320	y=816	w=16	h=16
minecraft:block/black_stained_glass_pane_top	x=336	y=816	w=16	h=16
minecraft:block/black_terracotta	x=352	y=816	w=16	h=16
minecraft:block/black_wool	x=368	y=816	w=16	h=16
minecraft:block/blackstone	x=384	y=816	w=16	h=16
minecraft:block/blackstone_top	x=400	y=816	w=16	h=16
minecraft:block/blast_furnace_front	x=416	y=816	w=16	h=16
minecraft:block/blast_furnace_front_on	x=432	y=816	w=16	h=16
minecraft:block/blast_furnace_side	x=448	y=816	w=16	h=16
minecraft:block/blast_furnace_top	x=464	y=816	w=16	h=16
minecraft:block/blue_candle	x=480	y=816	w=16	h=16
minecraft:block/blue_candle_lit	x=496	y=816	w=16	h=16
minecraft:block/blue_concrete	x=512	y=816	w=16	h=16
minecraft:block/blue_concrete_powder	x=528	y=816	w=16	h=16
minecraft:block/blue_glazed_terracotta	x=544	y=816	w=16	h=16
minecraft:block/blue_ice	x=560	y=816	w=16	h=16
minecraft:block/blue_orchid	x=576	y=816	w=16	h=16
minecraft:block/blue_shulker_box	x=592	y=816	w=16	h=16
minecraft:block/blue_stained_glass	x=608	y=816	w=16	h=16
minecraft:block/blue_stained_glass_pane_top	x=624	y=816	w=16	h=16
minecraft:block/blue_terracotta	x=640	y=816	w=16	h=16
minecraft:block/blue_wool	x=656	y=816	w=16	h=16
minecraft:block/bone_block_side	x=672	y=816	w=16	h=16
minecraft:block/bone_block_top	x=688	y=816	w=16	h=16
minecraft:block/bookshelf	x=704	y=816	w=16	h=16
minecraft:block/brain_coral	x=720	y=816	w=16	h=16
minecraft:block/brain_coral_block	x=736	y=816	w=16	h=16
minecraft:block/brain_coral_fan	x=752	y=816	w=16	h=16
minecraft:block/brewing_stand	x=0	y=832	w=16	h=16
minecraft:block/brewing_stand_base	x=16	y=832	w=16	h=16
minecraft:block/bricks	x=32	y=832	w=16	h=16
minecraft:block/brown_candle	x=48	y=832	w=16	h=16
minecraft:block/brown_candle_lit	x=64	y=832	w=16	h=16
minecraft:block/brown_concrete	x=80	y=832	w=16	h=16
minecraft:block/brown_concrete_powder	x=96	y=832	w=16	h=16
minecraft:block/brown_glazed_terracotta	x=112	y=832	w=16	h=16
minecraft:block/brown_mushroom	x=128	y=832	w=16	h=16
minecraft:block/brown_mushroom_block	x=144	y=832	w=16	h=16
minecraft:block/brown_shulker_box	x=160	y=832	w=16	h=16
minecraft:block/brown_stained_glass	x=176	y=832	w=16	h=16
minecraft:block/brown_stained_glass_pane_top	x=192	y=832	w=16	h=16
minecraft:block/brown_terracotta	x=208	y=832	w=16	h=16
minecraft:block/brown_wool	x=224	y=832	w=16	h=16
minecraft:block/bubble_coral	x=240	y=832	w=16	h=16
minecraft:block/bubble_coral_block	x=256	y=832	w=16	h=16
minecraft:block/bubble_coral_fan	x=272	y=832	w=16	h=16
minecraft:block/budding_amethyst	x=288	y=832	w=16	h=16
minecraft:block/cactus_bottom	x=304	y=832	w=16	h=16
minecraft:block/cactus_side	x=320	y=832	w=16	h=16
minecraft:block/cactus_top	x=336	y=832	w=16	h=16
minecraft:block/cake_bottom	x=352	y=832	w=16	h=16
minecraft:block/cake_inner	x=368	y=832	w=16	h=16
minecraft:block/cake_side	x=384	y=832	w=16	h=16
minecraft:block/cake_top	x=400	y=832	w=16	h=16
minecraft:block/calcite	x=416	y=832	w=16	h=16
minecraft:block/calibrated_sculk_sensor_amethyst	x=432	y=832	w=16	h=16
minecraft:block/calibrated_sculk_sensor_input_side	x=448	y=832	w=16	h=16
minecraft:block/calibrated_sculk_sensor_top	x=464	y=832	w=16	h=16
minecraft:block/campfire_fire	x=480	y=832	w=16	h=16
minecraft:block/campfire_log	x=496	y=832	w=16	h=16
minecraft:block/campfire_log_lit	x=512	y=832	w=16	h=16
minecraft:block/candle	x=528	y=832	w=16	h=16
minecraft:block/candle_lit	x=544	y=832	w=16	h=16
minecraft:block/carrots_stage0	x=560	y=832	w=16	h=16
minecraft:block/carrots_stage1	x=576	y=832	w=16	h=16
minecraft:block/carrots_stage2	x=592	y=832	w=16	h=16
minecraft:block/carrots_stage3	x=608	y=832	w=16	h=16
minecraft:block/cartography_table_side1	x=624	y=832	w=16	h=16
minecraft:block/cartography_table_side2	x=640	y=832	w=16	h=16
minecraft:block/cartography_table_side3	x=656	y=832	w=16	h=16
minecraft:block/cartography_table_top	x=672	y=832	w=16	h=16
minecraft:block/carved_pumpkin	x=688	y=832	w=16	h=16
minecraft:block/cauldron_bottom	x=704	y=832	w=16	h=16
minecraft:block/cauldron_inner	x=720	y=832	w=16	h=16
minecraft:block/cauldron_side	x=736	y=832	w=16	h=16
minecraft:block/cauldron_top	x=752	y=832	w=16	h=16
minecraft:block/cave_vines	x=0	y=848	w=16	h=16
minecraft:block/cave_vines_lit	x=16	y=848	w=16	h=16
minecraft:block/cave_vines_plant	x=32	y=848	w=16	h=16
minecraft:block/cave_vines_plant_lit	x=48	y=848	w=16	h=16
minecraft:block/chain	x=64	y=848	w=16	h=16
minecraft:block/chain_command_block_back	x=80	y=848	w=16	h=16
minecraft:block/chain_command_block_conditional	x=96	y=848	w=16	h=16
minecraft:block/chain_command_block_front	x=112	y=848	w=16	h=16
minecraft:block/chain_command_block_side	x=128	y=848	w=16	h=16
minecraft:block/cherry_door_bottom	x=144	y=848	w=16	h=16
minecraft:block/cherry_door_top	x=160	y=848	w=16	h=16
minecraft:block/cherry_leaves	x=176	y=848	w=16	h=16
minecraft:block/cherry_log	x=192	y=848	w=16	h=16
minecraft:block/cherry_log_top	x=208	y=848	w=16	h=16
minecraft:block/cherry_planks	x=224	y=848	w=16	h=16
minecraft:block/cherry_sapling	x=240	y=848	w=16	h=16
minecraft:block/cherry_trapdoor	x=256	y=848	w=16	h=16
minecraft:block/chipped_anvil_top	x=272	y=848	w=16	h=16
minecraft:block/chiseled_bookshelf_empty	x=288	y=848	w=16	h=16
minecraft:block/chiseled_bookshelf_occupied	x=304	y=848	w=16	h=16
minecraft:block/chiseled_bookshelf_side	x=320	y=848	w=16	h=16
minecraft:block/chiseled_bookshelf_top	x=336	y=848	w=16	h=16
minecraft:block/chiseled_copper	x=352	y=848	w=16	h=16
minecraft:block/chiseled_deepslate	x=368	y=848	w=16	h=16
minecraft:block/chiseled_nether_bricks	x=384	y=848	w=16	h=16
minecraft:block/chiseled_polished_blackstone	x=400	y=848	w=16	h=16
minecraft:block/chiseled_quartz_block	x=416	y=848	w=16	h=16
minecraft:block/chiseled_quartz_block_top	x=432	y=848	w=16	h=16
minecraft:block/chiseled_red_sandstone	x=448	y=848	w=16	h=16
minecraft:block/chiseled_sandstone	x=464	y=848	w=16	h=16
minecraft:block/chiseled_stone_bricks	x=480	y=848	w=16	h=16
minecraft:block/chiseled_tuff	x=496	y=848	w=16	h=16
minecraft:block/chiseled_tuff_bricks	x=512	y=848	w=16	h=16
minecraft:block/chiseled_tuff_bricks_top	x=528	y=848	w=16	h=16
minecraft:block/chiseled_tuff_top	x=544	y=848	w=16	h=16
minecraft:block/chorus_flower	x=560	y=848	w=16	h=16
minecraft:block/chorus_flower_dead	x=576	y=848	w=16	h=16
minecraft:block/chorus_plant	x=592	y=848	w=16	h=16
minecraft:block/clay	x=608	y=848	w=16	h=16
minecraft:block/coal_block	x=624	y=848	w=16	h=16
minecraft:block/coal_ore	x=640	y=848	w=16	h=16
minecraft:block/coarse_dirt	x=656	y=848	w=16	h=16
minecraft:block/cobbled_deepslate	x=672	y=848	w=16	h=16
minecraft:block/cobblestone	x=688	y=848	w=16	h=16
minecraft:block/cobweb	x=704	y=848	w=16	h=16
minecraft:block/cocoa_stage0	x=720	y=848	w=16	h=16
minecraft:block/cocoa_stage1	x=736	y=848	w=16	h=16
minecraft:block/cocoa_stage2	x=752	y=848	w=16	h=16
minecraft:block/command_block_back	x=0	y=864	w=16	h=16
minecraft:block/command_block_conditional	x=16	y=864	w=16	h=16
minecraft:block/command_block_front	x=32	y=864	w=16	h=16
minecraft:block/command_block_side	x=48	y=864	w=16	h=16
minecraft:block/comparator	x=64	y=864	w=16	h=16
minecraft:block/comparator_on	x=80	y=864	w=16	h=16
minecraft:block/composter_bottom	x=96	y=864	w=16	h=16
minecraft:block/composter_compost	x=112	y=864	w=16	h=16
minecraft:block/composter_ready	x=128	y=864	w=16	h=16
minecraft:block/composter_side	x=144	y=864	w=16	h=16
minecraft:block/composter_top	x=160	y=864	w=16	h=16
minecraft:block/conduit	x=176	y=864	w=16	h=16
minecraft:block/copper_block	x=192	y=864	w=16	h=16
minecraft:block/copper_bulb	x=208	y=864	w=16	h=16
minecraft:block/copper_bulb_lit	x=224	y=864	w=16	h=16
minecraft:block/copper_bulb_lit_powered	x=240	y=864	w=16	h=16
minecraft:block/copper_bulb_powered	x=256	y=864	w=16	h=16
minecraft:block/copper_door_bottom	x=272	y=864	w=16	h=16
minecraft:block/copper_door_top	x=288	y=864	w=16	h=16
minecraft:block/copper_grate	x=304	y=864	w=16	h=16
minecraft:block/copper_ore	x=320	y=864	w=16	h=16
minecraft:block/copper_trapdoor	x=336	y=864	w=16	h=16
minecraft:block/cornflower	x=352	y=864	w=16	h=16
minecraft:block/cracked_deepslate_bricks	x=368	y=864	w=16	h=16
minecraft:block/cracked_deepslate_tiles	x=384	y=864	w=16	h=16
minecraft:block/cracked_nether_bricks	x=400	y=864	w=16	h=16
minecraft:block/cracked_polished_blackstone_bricks	x=416	y=864	w=16	h=16
minecraft:block/cracked_stone_bricks	x=432	y=864	w=16	h=16
minecraft:block/crafter_bottom	x=448	y=864	w=16	h=16
minecraft:block/crafter_east	x=464	y=864	w=16	h=16
minecraft:block/crafter_east_crafting	x=480	y=864	w=16	h=16
minecraft:block/crafter_east_triggered	x=496	y=864	w=16	h=16
minecraft:block/crafter_north	x=512	y=864	w=16	h=16
minecraft:block/crafter_north_crafting	x=528	y=864	w=16	h=16
minecraft:block/crafter_south	x=544	y=864	w=16	h=16
minecraft:block/crafter_south_triggered	x=560	y=864	w=16	h=16
minecraft:block/crafter_top	x=576	y=864	w=16	h=16
minecraft:block/crafter_top_crafting	x=592	y=864	w=16	h=16
minecraft:block/crafter_top_triggered	x=608	y=864	w=16	h=16
minecraft:block/crafter_west	x=624	y=864	w=16	h=16
minecraft:block/crafter_west_crafting	x=640	y=864	w=16	h=16
minecraft:block/crafter_west_triggered	x=656	y=864	w=16	h=16
minecraft:block/crafting_table_front	x=672	y=864	w=16	h=16
minecraft:block/crafting_table_side	x=688	y=864	w=16	h=16
minecraft:block/crafting_table_top	x=704	y=864	w=16	h=16
minecraft:block/crimson_door_bottom	x=720	y=864	w=16	h=16
minecraft:block/crimson_door_top	x=736	y=864	w=16	h=16
minecraft:block/crimson_fungus	x=752	y=864	w=16	h=16
minecraft:block/crimson_nylium	x=0	y=880	w=16	h=16
minecraft:block/crimson_nylium_side	x=16	y=880	w=16	h=16
minecraft:block/crimson_planks	x=32	y=880	w=16	h=16
minecraft:block/crimson_roots	x=48	y=880	w=16	h=16
minecraft:block/crimson_roots_pot	x=64	y=880	w=16	h=16
minecraft:block/crimson_stem	x=80	y=880	w=16	h=16
minecraft:block/crimson_stem_top	x=96	y=880	w=16	h=16
minecraft:block/crimson_trapdoor	x=112	y=880	w=16	h=16
minecraft:block/crying_obsidian	x=128	y=880	w=16	h=16
minecraft:block/cut_copper	x=144	y=880	w=16	h=16
minecraft:block/cut_red_sandstone	x=160	y=880	w=16	h=16
minecraft:block/cut_sandstone	x=176	y=880	w=16	h=16
minecraft:block/cyan_candle	x=192	y=880	w=16	h=16
minecraft:block/cyan_candle_lit	x=208	y=880	w=16	h=16
minecraft:block/cyan_concrete	x=224	y=880	w=16	h=16
minecraft:block/cyan_concrete_powder	x=240	y=880	w=16	h=16
